n;clé;image_id;seed;statut;raison;prompt
1;s1/data-centers;e93b096c-4839-433a-b7b0-5d1fd6d2457e;aléatoire;rejetée;la comparaison « like a crown jewel » a produit une couronne, la puce a disparu;Risograph print editorial illustration, linocut style: a tiny computer chip placed like a crown jewel on top of a big pile of dark mining ore, with two small mine carts and pickaxes at the foot of the pile. [style bleu]
2;s2/campagne;be5dbba7-31d1-4792-aa5b-f72fc0a52956;aléatoire;rejetée;silhouette de profil et non de dos, bulles presque absentes, les boîtes ne lisent pas comme des machines qui recopient;Risograph print editorial illustration, linocut style: a politician silhouette seen from behind at a podium microphone, a giant megaphone next to him connected by cables to a swarm of small identical boxy machines each holding an empty speech bubble. [style rouge]
3;s3/bonjour-dominique;1563c753-ffd9-4478-aec9-1f3897e43e69;aléatoire;retenue;lisible, doux-amer, aplat sarcelle en fond;Risograph print editorial illustration, linocut style: a hospital room at night seen from the side, an empty bed under a window with a crescent moon, and a small boxy household robot with two round glowing eyes sitting on a chair beside the bed like a visitor. Bittersweet mood. [style sarcelle]
4;roles/decideur;7e8b2223-28db-4cad-ac34-6f152783aa4c;aléatoire;retenue;pictogramme net, sert de gabarit à la série des rôles;Risograph print pictogram, linocut style: a single black silhouette seen from behind standing at a political lectern with a microphone, both arms raised. Isolated figure centered on an empty plain background, full body visible, wide empty margins. [style noir pictogramme]
5;s1/couverture;164564dd-2186-42da-a725-db259a91d54a;aléatoire;rejetée;bleu trop foncé tombé en noir après bichromie, cadre noir autour;Risograph print editorial illustration, linocut style: an empty political lectern with a microphone standing on bare dirt, and behind it an unfinished construction site: two tall construction cranes and a few tall server cabinets on empty ground. The cranes and server cabinets are printed in blue. [style bleu]
6;s1/data-centers;f944e48f-57d6-40c4-b45e-c8b70b1b3030;aléatoire;retenue;puce à pattes lisible au sommet du tas, wagonnets en spot;Risograph print editorial illustration, linocut style: a small square computer microchip with metal pins sitting alone on the summit of a big heap of black rocks and raw ore, two tiny mine carts and two pickaxes at the bottom of the heap. The microchip is printed in blue. [style bleu]
7;s1/consommation;cffb8484-fb90-4d06-9fa7-bb072045b453;aléatoire;retenue;serveurs qui pompent le lac, sol craquelé, pylône ; la paille est devenue un tuyau mais le sens passe;Risograph print editorial illustration, linocut style: a big boxy windowless data center building drinking a small lake through a long bendy drinking straw, the lake almost empty with cracked mud around it, and a thick power cable plugged into an electric pylon. The water is printed in blue. [style bleu]
8;s1/vertueux;27dddb4f-3c27-48c5-9388-a253c3053145;aléatoire;retenue;roue à aubes, serveurs, maisons sur roues : tout le brief est là;Risograph print editorial illustration, linocut style: a waterfall turning a big wooden water wheel connected by thick cables to a stack of server cabinets on a cliff; in the valley below, three small houses on wheels being towed away along a road. The waterfall is printed in blue. [style bleu]
9;s1/competitif;2217028a-4d6a-4bf5-b5e9-044ae0f1b533;aléatoire;rejetée;fusée séparée du serveur, flammes horizontales, la forêt ne brûle pas;Risograph print editorial illustration, linocut style: a tall black server cabinet with rocket fins blasting off into the sky, its exhaust flames setting fire to a small pine forest below, paper banknotes flying out around it. The flames are printed in blue. [style bleu]
10;s1/pour-qui;49851605-ab5a-4a96-881a-b40d23f5af2b;aléatoire;retenue;le flux tombe dans la mallette : satire lisible en vignette;Risograph print editorial illustration, linocut style: a giant water tap at the top pouring a thick stream of glowing energy, and below it three containers waiting in a row: a simple bucket, a business briefcase, and a small toy school house with an open roof. The stream is printed in blue. [style bleu]
