cle,avant,apres
accueil/hero,dix mains en aplat noir et manchettes blanches (peau indéterminée),dix mains de teintes variées : papier + trame claire + trame dense + montre + bracelet
accueil/regles,une main papier (blanche) qui pousse le pion,une main foncée en trame dense avec bracelet
roles/decideur,bonhomme générique bras levés,femme de dos aux longues tresses en queue-de-cheval
roles/citoyen,six bustes identiques à tête ronde,six bustes : afro + foulard + chignon + carré + crâne rasé + queue-de-cheval
roles/data,bonhomme générique entre quatre bases de données,femme aux cheveux longs entre deux bases de données
roles/lobbyiste,deux bonshommes identiques,femme au carré en tailleur jupe + homme chauve
roles/syndicat,trois bonshommes identiques,homme trapu à l'afro + femme en foulard au poing levé + femme au chignon en robe
s1/prologue,petit politicien blanc en costume,politicienne noire aux cheveux naturels
s1/partenaires-sud,une dizaine de mineurs masculins en aplat noir et bleu,mineur·es varié·es : tresse + barbe grise + foulard sous le casque + peaux foncées + femme d'Asie de l'Est
s1/partenaires-locaux,cinq villageois en silhouettes (dont visages bleus),villageois·es : vieille dame en foulard à la canne + père noir et enfant + jeune femme à l'afro + vieil homme à la lampe + enfants
s1/location,homme blanc en costume dans le fauteuil,jeune femme bouclée à lunettes (peau en trame moyenne)
s1/import-assemblage,deux ouvriers aux cheveux noirs (visages papier),ouvrière en foulard + jeune homme noir à lunettes
s1/data-centers-fin,homme d'affaires blanc souriant,femme d'affaires au carré
s1/consommation-intro-2,petit homme blanc qui vide son portefeuille,femme noire bouclée et ronde qui verse ses pièces
s1/autre-projet,quatre petits citadins indistincts,femme noire aux tresses et enfant + vieil homme blanc à la canne + femme en foulard au portable + homme d'Asie de l'Est à lunettes
s1/grand-public,foule de silhouettes noires (quelques visages bleus au fond),foule variée : foulards + afros + enfants + personnes âgées + fauteuil roulant
s1/entreprises,quatre hommes d'affaires en silhouette,femme à queue-de-cheval + homme d'Asie de l'Est + femme noire aux cheveux gris + homme barbu au serveur
s1/entreprises-2,portier blanc + foule d'hommes en colère,videuse au chignon + foule variée : hijab + locs + dame âgée à lunettes + afro + jeune homme d'Asie de l'Est
s1/services-publics,petits citoyens en aplat bleu dans l'embrasure,file variée devant la mairie : femme en foulard et enfant + homme noir en fauteuil + dame à la canne + jeune homme à l'afro
s2/campagne,homme blanc de dos au micro,candidate noire aux tresses au mégaphone
s2/campagne-fin,candidat blanc qui se ronge les ongles,candidate noire bouclée qui se ronge les ongles
s2/reseau-social-europeen,journaliste homme blanc + public surtout blanc,journaliste noire à l'afro + public : dame au chignon gris + homme au turban + barbu + adolescente + personne en fauteuil
s2/diplomatie,diplomate homme blanc,diplomate âgée au chignon et lunettes (peau en trame)
s2/diplomatie-2,deux avant-bras en costume + deux petits cueilleurs,poignée de main main foncée / main claire + cueilleuse en foulard + vieil homme à barbe blanche
s2/donnees-ouvertes,file de petits citoyens blancs et d'investisseurs hommes,file variée : foulard + tresses + fauteuil + personnes âgées + investisseuse et investisseur
s2/limiter-ia,politicien blanc à chapeau melon et moustache,politicienne à l'ancienne (chapeau + perles + sac)
